gene_id,gene_name
ENSG00000099308.10,MAST3
ENSG00000099326.9,MZF1
ENSG00000099330.9,OCEL1
ENSG00000099331.13,MYO9B
ENSG00000099337.5,KCNK6
ENSG00000099338.23,CATSPERG
ENSG00000099341.11,PSMD8
ENSG00000099364.18,FBXL19
ENSG00000099365.11,STX1B
ENSG00000099377.14,HSD3B7
ENSG00000099381.18,SETD1A
ENSG00000099385.12,BCL7C
ENSG00000099399.6,MAGEB2
ENSG00000099617.4,EFNA2
ENSG00000099622.14,CIRBP
ENSG00000099624.8,ATP5F1D
ENSG00000099625.13,CBARP
ENSG00000099715.14,PCDH11Y
ENSG00000099721.14,AMELY
ENSG00000099725.14,PRKY
ENSG00000099769.6,IGFALS
ENSG00000099783.12,HNRNPM
ENSG00000099785.10,MARCHF2
ENSG00000099795.7,NDUFB7
ENSG00000099797.15,TECR
ENSG00000099800.8,TIMM13
ENSG00000099804.9,CDC34
ENSG00000099810.21,MTAP
ENSG00000099812.9,MISP
ENSG00000099814.16,CEP170B
ENSG00000099817.12,POLR2E
ENSG00000099821.14,POLRMT
ENSG00000099822.3,HCN2
ENSG00000099834.19,CDHR5
ENSG00000099840.14,IZUMO4
ENSG00000099849.15,RASSF7
ENSG00000099860.9,GADD45B
ENSG00000099864.18,PALM
ENSG00000099866.15,MADCAM1
ENSG00000099875.15,MKNK2
ENSG00000099889.14,ARVCF
ENSG00000099899.15,TRMT2A
ENSG00000099901.17,RANBP1
ENSG00000099904.16,ZDHHC8
ENSG00000099910.17,KLHL22
ENSG00000099917.17,MED15
ENSG00000099937.11,SERPIND1
ENSG00000099940.12,SNAP29
ENSG00000099942.13,CRKL
ENSG00000099949.21,LZTR1
ENSG00000099953.10,MMP11
ENSG00000099954.18,CECR2
ENSG00000099956.20,SMARCB1
ENSG00000099957.16,P2RX6
ENSG00000099958.15,DERL3
ENSG00000099960.13,SLC7A4
ENSG00000099968.18,BCL2L13
ENSG00000099974.8,DDTL
ENSG00000099977.14,DDT
ENSG00000099985.4,OSM
ENSG00000099991.18,CABIN1
ENSG00000099992.16,TBC1D10A
ENSG00000099994.11,SUSD2
ENSG00000099995.19,SF3A1
ENSG00000099998.18,GGT5
ENSG00000099999.15,RNF215
ENSG00000100003.18,SEC14L2
ENSG00000100012.12,SEC14L3
ENSG00000100014.20,SPECC1L
ENSG00000100023.19,PPIL2
ENSG00000100024.15,UPB1
ENSG00000100027.17,YPEL1
ENSG00000100028.12,SNRPD3
ENSG00000100029.18,PES1
ENSG00000100030.15,MAPK1
ENSG00000100031.19,GGT1
ENSG00000100033.16,PRODH
ENSG00000100034.14,PPM1F
ENSG00000100036.13,SLC35E4
ENSG00000100038.20,TOP3B
ENSG00000100053.10,CRYBB3
ENSG00000100055.21,CYTH4
ENSG00000100056.12,ESS2
ENSG00000100060.18,MFNG
ENSG00000100065.15,CARD10
ENSG00000100068.13,LRP5L
ENSG00000100075.10,SLC25A1
ENSG00000100077.15,GRK3
ENSG00000100078.4,PLA2G3
ENSG00000100079.7,LGALS2
ENSG00000100083.19,GGA1
ENSG00000100084.14,HIRA
ENSG00000100092.24,SH3BP1
ENSG00000100095.19,SEZ6L
ENSG00000100097.12,LGALS1
ENSG00000100099.21,HPS4
ENSG00000100100.13,PIK3IP1
ENSG00000100101.15,Z83844.1
ENSG00000100104.13,SRRD
ENSG00000100105.18,PATZ1
ENSG00000100106.22,TRIOBP
ENSG00000100109.17,TFIP11
ENSG00000100116.17,GCAT
ENSG00000100121.13,GGTLC2
ENSG00000100122.7,CRYBB1
ENSG00000100124.15,ANKRD54
ENSG00000100129.18,EIF3L
ENSG00000100138.15,SNU13
ENSG00000100139.13,MICALL1
ENSG00000100142.16,POLR2F
ENSG00000100146.18,SOX10
ENSG00000100147.14,CCDC134
ENSG00000100150.20,DEPDC5
ENSG00000100151.16,PICK1
ENSG00000100154.14,TTC28
ENSG00000100156.10,SLC16A8
ENSG00000100162.15,CENPM
ENSG00000100167.20,SEPTIN3
ENSG00000100170.10,SLC5A1
ENSG00000100191.6,SLC5A4
ENSG00000100196.11,KDELR3
ENSG00000100197.22,CYP2D6
ENSG00000100201.23,DDX17
ENSG00000100206.10,DMC1
ENSG00000100207.20,TCF20
ENSG00000100209.11,HSCB
ENSG00000100211.10,CBY1
ENSG00000100216.6,TOMM22
ENSG00000100218.12,RSPH14
ENSG00000100219.16,XBP1
ENSG00000100220.12,RTCB
ENSG00000100221.10,JOSD1
ENSG00000100225.18,FBXO7
ENSG00000100226.16,GTPBP1
ENSG00000100227.18,POLDIP3
ENSG00000100228.12,RAB36
ENSG00000100234.12,TIMP3
ENSG00000100239.16,PPP6R2
ENSG00000100241.21,SBF1
ENSG00000100242.15,SUN2
ENSG00000100243.21,CYB5R3
ENSG00000100246.13,DNAL4
ENSG00000100249.4,C22orf31
ENSG00000100253.13,MIOX
ENSG00000100258.18,LMF2
ENSG00000100263.14,RHBDD3
ENSG00000100266.19,PACSIN2
ENSG00000100271.17,TTLL1
ENSG00000100276.10,RASL10A
ENSG00000100280.16,AP1B1
ENSG00000100281.14,HMGXB4
ENSG00000100284.21,TOM1
ENSG00000100285.10,NEFH
ENSG00000100288.20,CHKB
ENSG00000100290.3,BIK
ENSG00000100292.18,HMOX1
ENSG00000100294.13,MCAT
ENSG00000100296.14,THOC5
ENSG00000100297.16,MCM5
ENSG00000100298.16,APOBEC3H
ENSG00000100299.18,ARSA
ENSG00000100300.18,TSPO
ENSG00000100302.7,RASD2
ENSG00000100304.13,TTLL12
ENSG00000100307.13,CBX7
ENSG00000100311.17,PDGFB
ENSG00000100312.11,ACR
ENSG00000100314.4,CABP7
ENSG00000100316.16,RPL3
ENSG00000100319.13,ZMAT5
ENSG00000100320.23,RBFOX2
ENSG00000100321.15,SYNGR1
ENSG00000100324.14,TAB1
ENSG00000100325.15,ASCC2
ENSG00000100330.16,MTMR3
ENSG00000100335.15,MIEF1
ENSG00000100336.17,APOL4
ENSG00000100341.12,PNPLA5
ENSG00000100342.21,APOL1
ENSG00000100344.11,PNPLA3
ENSG00000100345.22,MYH9
ENSG00000100346.18,CACNA1I
ENSG00000100347.15,SAMM50
ENSG00000100348.10,TXN2
ENSG00000100350.15,FOXRED2
ENSG00000100351.17,GRAP2
ENSG00000100353.18,EIF3D
ENSG00000100354.21,TNRC6B
ENSG00000100359.21,SGSM3
ENSG00000100360.15,IFT27
ENSG00000100362.13,PVALB
ENSG00000100364.19,KIAA0930
ENSG00000100365.16,NCF4
ENSG00000100368.14,CSF2RB
ENSG00000100372.15,SLC25A17
ENSG00000100373.10,UPK3A
ENSG00000100376.12,FAM118A
ENSG00000100379.17,KCTD17
ENSG00000100380.14,ST13
ENSG00000100385.14,IL2RB
ENSG00000100387.9,RBX1
ENSG00000100393.14,EP300
ENSG00000100395.15,L3MBTL2
ENSG00000100399.16,CHADL
ENSG00000100401.20,RANGAP1
ENSG00000100403.12,ZC3H7B
ENSG00000100410.8,PHF5A
ENSG00000100412.17,ACO2
ENSG00000100413.17,POLR3H
ENSG00000100416.15,TRMU
ENSG00000100417.12,PMM1
ENSG00000100418.8,DESI1
ENSG00000100422.14,CERK
ENSG00000100425.18,BRD1
ENSG00000100426.7,ZBED4
ENSG00000100427.16,MLC1
ENSG00000100429.18,HDAC10
ENSG00000100433.16,KCNK10
ENSG00000100439.10,ABHD4
ENSG00000100441.10,KHNYN
ENSG00000100442.11,FKBP3
ENSG00000100445.17,SDR39U1
ENSG00000100448.4,CTSG
ENSG00000100450.13,GZMH
ENSG00000100453.13,GZMB
ENSG00000100461.18,RBM23
ENSG00000100462.16,PRMT5
ENSG00000100473.18,COCH
ENSG00000100478.15,AP4S1
ENSG00000100479.13,POLE2
ENSG00000100483.14,VCPKMT
ENSG00000100485.12,SOS2
ENSG00000100490.9,CDKL1
ENSG00000100503.26,NIN
ENSG00000100504.17,PYGL
ENSG00000100505.13,TRIM9
ENSG00000100519.12,PSMC6
ENSG00000100522.10,GNPNAT1
ENSG00000100523.16,DDHD1
ENSG00000100526.20,CDKN3
ENSG00000100528.12,CNIH1
ENSG00000100532.12,CGRRF1
ENSG00000100554.12,ATP6V1D
ENSG00000100557.10,CCDC198
ENSG00000100558.9,PLEK2
ENSG00000100564.9,PIGH
ENSG00000100565.15,LRRC74A
ENSG00000100567.13,PSMA3
ENSG00000100568.11,VTI1B
ENSG00000100575.14,TIMM9
ENSG00000100577.19,GSTZ1
ENSG00000100578.18,KIAA0586
ENSG00000100580.8,TMED8
ENSG00000100583.4,SAMD15
ENSG00000100591.8,AHSA1
ENSG00000100592.16,DAAM1
ENSG00000100593.18,ISM2
ENSG00000100596.7,SPTLC2
ENSG00000100599.16,RIN3
ENSG00000100600.15,LGMN
ENSG00000100601.10,ALKBH1
ENSG00000100603.14,SNW1
ENSG00000100604.13,CHGA
ENSG00000100605.17,ITPK1
ENSG00000100612.14,DHRS7
ENSG00000100614.18,PPM1A
ENSG00000100625.9,SIX4
ENSG00000100626.17,GALNT16
ENSG00000100628.12,ASB2
ENSG00000100629.17,CEP128
ENSG00000100632.11,ERH
ENSG00000100644.17,HIF1A
ENSG00000100647.8,SUSD6
ENSG00000100650.16,SRSF5
ENSG00000100652.5,SLC10A1
ENSG00000100664.11,EIF5
ENSG00000100665.12,SERPINA4
ENSG00000100678.19,SLC8A3
ENSG00000100697.15,DICER1
ENSG00000100711.14,ZFYVE21
ENSG00000100714.17,MTHFD1
ENSG00000100721.11,TCL1A
ENSG00000100722.20,ZC3H14
ENSG00000100726.15,TELO2
ENSG00000100731.16,PCNX1
ENSG00000100739.11,BDKRB1
ENSG00000100744.15,GSKIP
ENSG00000100749.8,VRK1
ENSG00000100764.14,PSMC1
ENSG00000100767.17,PAPLN
ENSG00000100784.12,RPS6KA5
ENSG00000100796.17,PPP4R3A
ENSG00000100802.15,C14orf93
ENSG00000100804.19,PSMB5
ENSG00000100811.14,YY1
ENSG00000100813.14,ACIN1
ENSG00000100814.18,CCNB1IP1
ENSG00000100815.12,TRIP11
ENSG00000100823.12,APEX1
ENSG00000100836.10,PABPN1
ENSG00000100842.13,EFS
ENSG00000100852.13,ARHGAP5
ENSG00000100865.15,CINP
ENSG00000100867.15,DHRS2
ENSG00000100883.13,SRP54
ENSG00000100884.9,CPNE6
ENSG00000100888.15,CHD8
ENSG00000100889.12,PCK2
ENSG00000100890.16,PRORP
ENSG00000100897.18,DCAF11
ENSG00000100902.11,PSMA6
ENSG00000100906.11,NFKBIA
ENSG00000100908.14,EMC9
ENSG00000100911.16,PSME2
ENSG00000100916.14,BRMS1L
ENSG00000100918.13,REC8
ENSG00000100926.15,TM9SF1
ENSG00000100934.15,SEC23A
ENSG00000100938.18,GMPR2
ENSG00000100941.9,PNN
ENSG00000100949.14,RABGGTA
ENSG00000100968.14,NFATC4
ENSG00000100979.15,PLTP
ENSG00000100982.12,PCIF1
ENSG00000100983.12,GSS
ENSG00000100985.7,MMP9
ENSG00000100987.15,VSX1
ENSG00000100991.12,TRPC4AP
ENSG00000100994.12,PYGB
ENSG00000100997.20,ABHD12
ENSG00000101000.6,PROCR
ENSG00000101003.10,GINS1
ENSG00000101004.15,NINL
ENSG00000101017.14,CD40
ENSG00000101019.22,UQCC1
ENSG00000101040.19,ZMYND8
ENSG00000101049.17,SGK2
ENSG00000101052.13,IFT52
ENSG00000101057.16,MYBL2
ENSG00000101074.5,R3HDML
ENSG00000101076.17,HNF4A
ENSG00000101079.21,NDRG3
ENSG00000101082.14,SLA2
ENSG00000101084.18,RAB5IF
ENSG00000101096.20,NFATC2
ENSG00000101098.13,RIMS4
ENSG00000101104.13,PABPC1L
ENSG00000101109.12,STK4
ENSG00000101115.13,SALL4
ENSG00000101126.18,ADNP
ENSG00000101132.10,PFDN4
ENSG00000101134.12,DOK5
ENSG00000101138.12,CSTF1
ENSG00000101144.13,BMP7
ENSG00000101146.13,RAE1
ENSG00000101150.18,TPD52L2
ENSG00000101152.11,DNAJC5
ENSG00000101158.15,NELFCD
ENSG00000101160.14,CTSZ
ENSG00000101161.8,PRPF6
ENSG00000101162.4,TUBB1
ENSG00000101166.16,PRELID3B
ENSG00000101180.16,HRH3
ENSG00000101181.17,MTG2
ENSG00000101182.15,PSMA7
ENSG00000101187.16,SLCO4A1
ENSG00000101188.5,NTSR1
ENSG00000101189.7,MRGBP
ENSG00000101190.13,TCFL5
ENSG00000101191.17,DIDO1
ENSG00000101193.8,GID8
ENSG00000101194.18,SLC17A9
ENSG00000101197.13,BIRC7
ENSG00000101198.15,NKAIN4
ENSG00000101199.13,ARFGAP1
ENSG00000101200.5,AVP
ENSG00000101203.16,COL20A1
ENSG00000101204.18,CHRNA4
ENSG00000101210.13,EEF1A2
ENSG00000101213.7,PTK6
ENSG00000101216.11,GMEB2
ENSG00000101220.18,C20orf27
ENSG00000101222.12,SPEF1
ENSG00000101224.17,CDC25B
ENSG00000101230.6,ISM1
ENSG00000101236.17,RNF24
ENSG00000101246.20,ARFRP1
ENSG00000101247.18,NDUFAF5
ENSG00000101251.13,SEL1L2
ENSG00000101255.11,TRIB3
ENSG00000101265.16,RASSF2
ENSG00000101266.19,CSNK2A1
ENSG00000101276.18,SLC52A3
ENSG00000101280.8,ANGPT4
ENSG00000101282.9,RSPO4
ENSG00000101290.14,CDS2
ENSG00000101292.8,PROKR2
ENSG00000101294.18,HM13
ENSG00000101298.15,SNPH
ENSG00000101306.11,MYLK2
ENSG00000101307.16,SIRPB1
ENSG00000101310.17,SEC23B
ENSG00000101311.16,FERMT1
ENSG00000101323.5,HAO1
ENSG00000101327.9,PDYN
ENSG00000101331.17,CCM2L
ENSG00000101333.17,PLCB4
ENSG00000101335.10,MYL9
ENSG00000101336.17,HCK
ENSG00000101337.16,TM9SF4
ENSG00000101342.10,TLDC2
ENSG00000101343.15,CRNKL1
ENSG00000101346.14,POFUT1
ENSG00000101347.10,SAMHD1
ENSG00000101349.17,PAK5
ENSG00000101350.8,KIF3B
ENSG00000101353.15,MROH8
ENSG00000101361.17,NOP56
ENSG00000101363.12,MANBAL
ENSG00000101365.21,IDH3B
ENSG00000101367.9,MAPRE1
ENSG00000101384.12,JAG1
ENSG00000101391.21,CDK5RAP1
ENSG00000101400.6,SNTA1
ENSG00000101405.3,OXT
ENSG00000101407.13,TTI1
ENSG00000101412.13,E2F1
ENSG00000101413.12,RPRD1B
ENSG00000101417.12,PXMP4
ENSG00000101421.4,CHMP4B
ENSG00000101425.14,BPI
ENSG00000101435.5,CST9L
ENSG00000101438.4,SLC32A1
ENSG00000101439.9,CST3
ENSG00000101440.9,ASIP
ENSG00000101441.4,CST4
ENSG00000101442.10,ACTR5
ENSG00000101443.18,WFDC2
ENSG00000101444.13,AHCY
ENSG00000101445.10,PPP1R16B
ENSG00000101446.8,SPINT3
ENSG00000101447.15,FAM83D
ENSG00000101448.14,EPPIN
ENSG00000101452.15,DHX35
ENSG00000101457.13,DNTTIP1
ENSG00000101460.13,MAP1LC3A
ENSG00000101463.6,SYNDIG1
ENSG00000101464.11,PIGU
ENSG00000101470.10,TNNC2
ENSG00000101473.17,ACOT8
ENSG00000101474.12,APMAP
ENSG00000101489.20,CELF4
ENSG00000101493.11,ZNF516
ENSG00000101542.10,CDH20
ENSG00000101544.9,ADNP2
ENSG00000101546.13,RBFA
ENSG00000101557.15,USP14
ENSG00000101558.14,VAPA
ENSG00000101574.15,METTL4
ENSG00000101577.10,LPIN2
ENSG00000101596.16,SMCHD1
ENSG00000101605.13,MYOM1
ENSG00000101608.13,MYL12A
ENSG00000101624.11,CEP76
ENSG00000101638.14,ST8SIA5
ENSG00000101639.18,CEP192
ENSG00000101654.18,RNMT
ENSG00000101665.9,SMAD7
ENSG00000101670.12,LIPG
ENSG00000101680.15,LAMA1
ENSG00000101695.9,RNF125
ENSG00000101745.17,ANKRD12
ENSG00000101746.15,NOL4
ENSG00000101751.10,POLI
ENSG00000101752.12,MIB1
ENSG00000101773.19,RBBP8
ENSG00000101782.15,RIOK3
ENSG00000101811.14,CSTF2
ENSG00000101812.14,H2BW2
ENSG00000101825.8,MXRA5
ENSG00000101842.14,VSIG1
ENSG00000101843.19,PSMD10
ENSG00000101844.18,ATG4A
ENSG00000101846.8,STS
ENSG00000101849.17,TBL1X
ENSG00000101850.13,GPR143
ENSG00000101856.10,PGRMC1
ENSG00000101868.13,POLA1
ENSG00000101871.16,MID1
ENSG00000101882.10,NKAP
ENSG00000101883.5,RHOXF1
ENSG00000101888.12,NXT2
ENSG00000101890.5,GUCY2F
ENSG00000101892.12,ATP1B4
ENSG00000101898.6,MCTS2P
ENSG00000101901.12,ALG13
ENSG00000101911.13,PRPS2
ENSG00000101916.12,TLR8
ENSG00000101928.13,MOSPD1
ENSG00000101935.10,AMMECR1
ENSG00000101938.15,CHRDL1
ENSG00000101940.18,WDR13
ENSG00000101945.17,SUV39H1
ENSG00000101951.17,PAGE4
ENSG00000101955.15,SRPX
ENSG00000101958.14,GLRA2
ENSG00000101966.13,XIAP
ENSG00000101972.19,STAG2
ENSG00000101974.14,ATP11C
ENSG00000101977.21,MCF2
ENSG00000101981.12,F9
ENSG00000101986.12,ABCD1
ENSG00000101997.13,CCDC22
ENSG00000102001.13,CACNA1F
ENSG00000102003.11,SYP
ENSG00000102007.11,PLP2
ENSG00000102010.15,BMX
ENSG00000102021.11,LUZP4
ENSG00000102024.18,PLS3
ENSG00000102030.16,NAA10
ENSG00000102032.13,RENBP
ENSG00000102034.17,ELF4
ENSG00000102038.16,SMARCA1
ENSG00000102043.16,MTMR8
ENSG00000102048.16,ASB9
ENSG00000102053.12,ZC3H12B
ENSG00000102054.18,RBBP7
ENSG00000102055.7,PPP1R2C
ENSG00000102057.10,KCND1
ENSG00000102076.10,OPN1LW
ENSG00000102078.16,SLC25A14
ENSG00000102081.15,FMR1
ENSG00000102096.9,PIM2
ENSG00000102098.19,SCML2
ENSG00000102100.16,SLC35A2
ENSG00000102103.17,PQBP1
ENSG00000102104.9,RS1
ENSG00000102109.9,PCSK1N
ENSG00000102119.11,EMD
ENSG00000102125.16,TAZ
ENSG00000102128.8,RAB40AL
ENSG00000102144.15,PGK1
ENSG00000102145.15,GATA1
ENSG00000102158.20,MAGT1
ENSG00000102172.16,SMS
ENSG00000102174.9,PHEX
ENSG00000102178.13,UBL4A
ENSG00000102181.21,CD99L2
ENSG00000102189.17,EEA1
ENSG00000102195.10,GPR50
ENSG00000102218.6,RP2
ENSG00000102221.14,JADE3
ENSG00000102225.16,CDK16
ENSG00000102226.10,USP11
ENSG00000102230.14,PCYT1B
ENSG00000102239.5,BRS3
ENSG00000102241.12,HTATSF1
ENSG00000102243.13,VGLL1
ENSG00000102245.8,CD40LG
ENSG00000102265.12,TIMP1
ENSG00000102271.14,KLHL4
ENSG00000102287.19,GABRE
ENSG00000102290.22,PCDH11X
ENSG00000102302.8,FGD1
ENSG00000102309.15,PIN4
ENSG00000102312.23,PORCN
ENSG00000102313.9,ITIH6
ENSG00000102316.17,MAGED2
ENSG00000102317.18,RBM3
ENSG00000102349.18,KLF8
ENSG00000102359.8,SRPX2
ENSG00000102362.15,SYTL4
ENSG00000102383.14,ZDHHC15
ENSG00000102384.13,CENPI
ENSG00000102385.12,DRP2
ENSG00000102387.16,TAF7L
ENSG00000102390.11,PBDC1
ENSG00000102393.14,GLA
ENSG00000102401.20,ARMCX3
ENSG00000102409.10,BEX4
ENSG00000102445.20,RUBCNL
ENSG00000102452.18,NALCN
ENSG00000102466.16,FGF14
ENSG00000102468.11,HTR2A
ENSG00000102471.14,NDFIP2
ENSG00000102524.11,TNFSF13B
ENSG00000102531.16,FNDC3A
ENSG00000102539.5,MLNR
ENSG00000102543.14,CDADC1
ENSG00000102547.19,CAB39L
ENSG00000102554.14,KLF5
ENSG00000102572.15,STK24
ENSG00000102575.13,ACP5
ENSG00000102580.15,DNAJC3
ENSG00000102595.20,UGGT2
ENSG00000102606.18,ARHGEF7
ENSG00000102678.7,FGF9
ENSG00000102683.8,SGCG
ENSG00000102699.6,PARP4
ENSG00000102710.20,SUPT20H
ENSG00000102738.8,MRPS31
ENSG00000102743.15,SLC25A15
ENSG00000102753.10,KPNA3
ENSG00000102755.12,FLT1
ENSG00000102760.13,RGCC
ENSG00000102763.18,VWA8
ENSG00000102780.17,DGKH
ENSG00000102781.14,KATNAL1
ENSG00000102786.15,INTS6
ENSG00000102794.10,ACOD1
ENSG00000102796.11,DHRS12
ENSG00000102802.10,MEDAG
ENSG00000102804.15,TSC22D1
ENSG00000102805.16,CLN5
ENSG00000102837.7,OLFM4
ENSG00000102854.16,MSLN
ENSG00000102858.13,MGRN1
ENSG00000102870.6,ZNF629
ENSG00000102871.16,TRADD
ENSG00000102878.17,HSF4
ENSG00000102879.16,CORO1A
ENSG00000102882.12,MAPK3
ENSG00000102886.15,GDPD3
ENSG00000102890.16,ELMO3
ENSG00000102891.4,MT4
ENSG00000102893.16,PHKB
ENSG00000102897.10,LYRM1
ENSG00000102898.12,NUTF2
ENSG00000102900.13,NUP93
ENSG00000102901.13,CENPT
ENSG00000102904.15,TSNAXIP1
ENSG00000102908.22,NFAT5
ENSG00000102910.14,LONP2
ENSG00000102921.8,N4BP1
ENSG00000102924.12,CBLN1
ENSG00000102931.8,ARL2BP
ENSG00000102934.10,PLLP
ENSG00000102935.12,ZNF423
ENSG00000102962.5,CCL22
ENSG00000102967.12,DHODH
ENSG00000102970.11,CCL17
ENSG00000102974.16,CTCF
ENSG00000102977.17,ACD
ENSG00000102978.13,POLR2C
ENSG00000102981.10,PARD6A
ENSG00000102984.15,ZNF821
ENSG00000102996.5,MMP15
ENSG00000103005.12,USB1
ENSG00000103018.17,CYB5B
ENSG00000103021.9,CCDC113
ENSG00000103023.12,PRSS54
ENSG00000103024.7,NME3
ENSG00000103034.14,NDRG4
ENSG00000103035.11,PSMD7
ENSG00000103037.12,SETD6
ENSG00000103042.9,SLC38A7
ENSG00000103043.15,VAC14
ENSG00000103044.11,HAS3
ENSG00000103047.8,TANGO6
ENSG00000103051.20,COG4
ENSG00000103056.12,SMPD3
ENSG00000103061.13,SLC7A6OS
ENSG00000103064.15,SLC7A6
ENSG00000103066.13,PLA2G15
ENSG00000103067.14,ESRP2
ENSG00000103089.9,FA2H
ENSG00000103091.15,WDR59
ENSG00000103111.15,MON1B
ENSG00000103121.9,CMC2
ENSG00000103126.15,AXIN1
ENSG00000103145.11,HCFC1R1
ENSG00000103148.17,NPRL3
ENSG00000103150.7,MLYCD
ENSG00000103152.12,MPG
ENSG00000103154.9,NECAB2
ENSG00000103160.12,HSDL1
ENSG00000103168.17,TAF1C
ENSG00000103174.13,NAGPA
ENSG00000103175.11,WFDC1
ENSG00000103184.12,SEC14L5
ENSG00000103187.8,COTL1
ENSG00000103194.16,USP10
ENSG00000103196.12,CRISPLD2
ENSG00000103197.18,TSC2
ENSG00000103199.14,ZNF500
ENSG00000103202.13,NME4
ENSG00000103222.20,ABCC1
ENSG00000103226.19,NOMO3
ENSG00000103227.19,LMF1
ENSG00000103241.7,FOXF1
ENSG00000103245.14,CIAO3
ENSG00000103248.19,MTHFSD
ENSG00000103249.18,CLCN7
ENSG00000103253.19,HAGHL
ENSG00000103254.10,ANTKMT
ENSG00000103257.9,SLC7A5
ENSG00000103260.9,METRN
ENSG00000103264.18,FBXO31
ENSG00000103266.11,STUB1
ENSG00000103269.14,RHBDL1
ENSG00000103274.11,NUBP1
ENSG00000103275.21,UBE2I
ENSG00000103310.11,ZP2
ENSG00000103313.13,MEFV
ENSG00000103316.12,CRYM
ENSG00000103319.12,EEF2K
ENSG00000103326.12,CAPN15
ENSG00000103335.22,PIEZO1
ENSG00000103342.13,GSPT1
ENSG00000103343.13,ZNF174
ENSG00000103351.13,CLUAP1
ENSG00000103353.16,UBFD1
ENSG00000103355.13,PRSS33
ENSG00000103356.18,EARS2
ENSG00000103363.15,ELOB
ENSG00000103365.15,GGA2
ENSG00000103375.11,AQP8
ENSG00000103381.12,CPPED1
ENSG00000103404.14,USP31
ENSG00000103415.12,HMOX2
ENSG00000103423.14,DNAJA3
ENSG00000103426.12,CORO7-PAM16
ENSG00000103429.11,BFAR
ENSG00000103449.12,SALL1
ENSG00000103460.17,TOX3
ENSG00000103479.16,RBL2
ENSG00000103485.19,QPRT
ENSG00000103489.12,XYLT1
ENSG00000103490.14,PYCARD
ENSG00000103494.15,RPGRIP1L
ENSG00000103495.14,MAZ
ENSG00000103496.15,STX4
ENSG00000103502.14,CDIPT
ENSG00000103507.14,BCKDK
ENSG00000103510.20,KAT8
ENSG00000103512.15,NOMO1
ENSG00000103522.16,IL21R
ENSG00000103528.17,SYT17
ENSG00000103534.17,TMC5
ENSG00000103540.16,CCP110
ENSG00000103544.15,VPS35L
ENSG00000103546.18,SLC6A2
ENSG00000103549.22,RNF40
ENSG00000103550.14,KNOP1
ENSG00000103569.10,AQP9
ENSG00000103591.13,AAGAB
ENSG00000103599.20,IQCH
ENSG00000103642.12,LACTB
ENSG00000103647.13,CORO2B
ENSG00000103653.16,CSK
ENSG00000103657.14,HERC1
ENSG00000103671.10,TRIP4
ENSG00000103707.10,MTFMT
ENSG00000103710.11,RASL12
ENSG00000103723.16,AP3B2
ENSG00000103740.10,ACSBG1
ENSG00000103742.12,IGDCC4
ENSG00000103769.10,RAB11A
ENSG00000103811.18,CTSH
ENSG00000103852.13,TTC23
ENSG00000103855.18,CD276
ENSG00000103876.13,FAH
ENSG00000103888.17,CEMIP
ENSG00000103932.12,RPAP1
ENSG00000103942.13,HOMER2
ENSG00000103966.11,EHD4
ENSG00000103978.16,TMEM87A
ENSG00000103994.18,ZNF106
ENSG00000103995.14,CEP152
ENSG00000104043.15,ATP8B4
ENSG00000104044.16,OCA2
ENSG00000104047.15,DTWD1
ENSG00000104055.16,TGM5
ENSG00000104059.4,FAM189A1
ENSG00000104064.18,GABPB1
ENSG00000104067.17,TJP1
ENSG00000104081.14,BMF
ENSG00000104093.14,DMXL2
ENSG00000104112.9,SCG3
ENSG00000104129.10,DNAJC17
ENSG00000104131.13,EIF3J
ENSG00000104133.15,SPG11
ENSG00000104140.7,RHOV
ENSG00000104142.11,VPS18
ENSG00000104147.9,OIP5
ENSG00000104154.7,SLC30A4
ENSG00000104164.12,BLOC1S6
ENSG00000104177.18,MYEF2
ENSG00000104205.16,SGK3
ENSG00000104213.13,PDGFRL
ENSG00000104218.16,CSPP1
ENSG00000104219.13,ZDHHC2
ENSG00000104221.13,BRF2
ENSG00000104228.13,TRIM35
ENSG00000104231.11,ZFAND1
ENSG00000104237.11,RP1
ENSG00000104267.10,CA2
ENSG00000104290.11,FZD3
ENSG00000104299.15,INTS9
ENSG00000104312.8,RIPK2
ENSG00000104313.20,EYA1
ENSG00000104320.14,NBN
ENSG00000104321.11,TRPA1
ENSG00000104324.16,CPQ
ENSG00000104325.7,DECR1
ENSG00000104327.7,CALB1
ENSG00000104331.9,BPNT2
ENSG00000104332.12,SFRP1
ENSG00000104341.17,LAPTM4B
ENSG00000104343.21,UBE2W
ENSG00000104356.11,POP1
ENSG00000104361.10,NIPAL2
ENSG00000104365.16,IKBKB
ENSG00000104368.19,PLAT
ENSG00000104369.5,JPH1
ENSG00000104371.5,DKK4
ENSG00000104375.17,STK3
ENSG00000104381.14,GDAP1
ENSG00000104388.15,RAB2A
ENSG00000104408.11,EIF3E
ENSG00000104412.8,EMC2
ENSG00000104413.18,ESRP1
ENSG00000104415.14,CCN4
ENSG00000104419.17,NDRG1
ENSG00000104427.12,ZC2HC1A
ENSG00000104432.14,IL7
ENSG00000104435.14,STMN2
ENSG00000104442.10,ARMC1
ENSG00000104447.13,TRPS1
ENSG00000104450.13,SPAG1
ENSG00000104472.10,CHRAC1
ENSG00000104490.18,NCALD
ENSG00000104497.14,SNX16
